no,record_key,author,title,imprint_place,year,type,subject,status,confidence,attested_by,shelfmark,institution,catalogue_record,facsimile
1,e-mort-tuwien-alphonsine,(Alfonso X) — Alphonsine Tables,Tabulae Alphonsinae,,"1492 (Venice: Hamman, ed. Santritter)",Printed Book,Astronomy/Tables,Located,A,Mortensen 1955,Tresor 7704 I (TU Wien Hauptbibliothek),TU Wien University Library,https://catalogplus.tuwien.at/primo-explore/fulldisplay?docid=UTW_alma21135674100003336&vid=UTW,
2,e-letter-geographi-hoeschel,(ancient geographers; ed. David Hoeschel),"Geographica — ancient minor Greek geographers, newly first-published (incl. Scylax of Caryanda)",Augsburg,1600,Printed Book,Geography,"Attested, not located",B,Correspondence and later literature,,,,
3,e-mainx-eight,(eight unidentified authors),"[Eight unidentified Tycho-owned books, superexlibris and autograph marginalia, found in a Prague monastery, 1943]",,,Printed Book,(various),"Attested, not located",B,Mortensen 1955,,,,
4,e-letter-methodius-revelatio,(Pseudo-)Methodius,Revelatio (Revelationes Methodii) — a manuscript copy made for Tycho,,1600,Manuscript,Prophecy/History,Attested; retired as unlocatable,B,Correspondence and later literature,,,,
5,e-mort-rohsska-prachtband,(unidentified — a gilt-supralibros Prachtband),A Tycho gilt-supralibros Prachtband (title not identified),,,Printed Book,,Located,A,Mortensen 1955,(inventory number not recorded),Röhsska Museum,,
6,e-orphan-wroclaw,(unspecified),"[Tychoniana reported at Wrocław University Library, Głombiowski 1955 — no title established]",,,Printed Book,(various),Attested; retired as unlocatable,C,Correspondence and later literature,,,,
7,e-prandtlA-08,[Anonymous compilation],"Artis divinatricis, quam astrologiam seu judiciariam vocant, encomia et patrocinia",Paris (Chr. Wechel),1549,Printed Book,Astronomy/Astrology/Mathematics,Located,A,Prandtl 1932,Sign. 14 J 190,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000162802&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__14_J_000190_3JP8VIC-cs
8,e-prandtlA-21,[Anonymous] (Peurbach; Joannes de Gmunden),Contenta in hoc libello: Arithmetica communis; Proportiones breves; De latitudinibus formarum; Algorithmus Georgii Peurbachii in integris; Algorithmus Joannis de Gmunden de minutiis physicis (defective),,,Printed Book,Astronomy/Astrology/Mathematics,Located,A,Prandtl 1932,Sign. 14 F 8,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000155813&local_base=STT,
9,e-norlind-ortelius-theatrum,Abraham Ortelius,Theatrum orbis terrarum,Antwerp,1570,Printed Book,Geography/Cartography,Attested; retired as unlocatable,B,Norlind 1970,,,,
10,e-norlind-scultetus-sphaericorum,"Abraham Scultetus (with Bartholomäus Pitiscus, Trigonometria)",Sphaericorum libri tres ... Accessit ... tractatus brevis Pitisci,Heidelberg,1595,Printed Book,Mathematics (trigonometry),"Attested, not located",B,Norlind 1970,,,,
11,e-kl-40,"Agricola, Georgius",De ortu et causis subterraneorum libri V.,,,Printed Book,,Located,A,Kleinschnitzová 1933,Sign. 17 A 45,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000090352&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__17_A_000045_3B5178C-cs
12,e-prandtlA-48,"Agrippa von Nettesheim, H.C.","Opera, tomus primus",Lyon,1550,Printed Book,Letters/Philosophy,Located,A,Prandtl 1932,"(Prandtl Verzeichnis B, Band XX; shelfmark not recorded)",National Library of the Czech Republic (Clementinum),,
13,e-ghost-albategnius-arabic,al-Battani (Albategnius),De motu stellarum — a corrected/Arabic edition Tycho sought (1598-1600),,,Printed Book,Astronomy,Attested; retired as unlocatable,C,Correspondence and later literature,,,,
14,e-norlind-durer-imagines,"Albrecht Dürer (Stabius, Heinfogel)",Imagines coeli meridionales/septentrionales (star charts),Nürnberg,1515,Printed Book,Star charts,Attested; retired as unlocatable,C,Norlind 1970,,,,
15,e-prandtlA-01,Albubater,Liber Genethliacus sive de nativitatibus,Nürnberg,1540,Printed Book,Astronomy/Astrology/Mathematics,Located,A,Prandtl 1932,Sign. 14 F 16,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000155904&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__14_F_000016_38YQ7E9-cs
16,e-kl-16,Alfraganus,Rudimenta astronomica Alfragani. Item Albategnius astronomus peritissimus de motu stellarum ...,,,Printed Book,,Located,A,Kleinschnitzová 1933,Sign. 14 J 28,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000157386&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__14_J_000028_0K7OGI2-cs
17,e-norlind-alhazen-opticae,"Alhazen (Ibn al-Haytham), ed. F. Risner (with Vitellio)",Opticae thesaurus. Alhazeni Arabis libri VII ... Item Vitellonis libri X,Basel,1572,Printed Book,Optics,Attested; retired as unlocatable,C,Norlind 1970,,,,
18,e-prandtlA-04,"Apianus, Petrus",Pronunciata centum super Instrumento novo Primi Mobilis,,,Printed Book,Astronomy/Astrology/Mathematics,Located,A,Prandtl 1932,Sign. 14 A 63,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000100065&local_base=STT,
19,e-prandtlA-02,"Apianus, Petrus",Astronomicum Caesareum,Ingolstadt,1540,Printed Book,Astronomy/Astrology/Mathematics,Located,A,Prandtl 1932,"(Prandtl Verzeichnis B, Band VI; shelfmark not recorded)",Forschungsbibliothek Gotha,,
20,e-prandtlA-03,"Apianus, Petrus",Cosmographia (per Gemma Frisium),Paris,1553,Printed Book,Astronomy/Astrology/Mathematics,Located,A,Prandtl 1932,"(Prandtl Verzeichnis B, Band II; shelfmark not recorded)","Private / untraced (incl. American collectors via Mortensen/Martayan Lan; formerly Antiquariat Weiß & Co., Munich)",,
21,e-norlind-apollonius-conica,Apollonius of Perga,"Conicorum libri IV (prob. Commandino, Bologna 1566; or Memmo, Venice 1537)",Bologna,1566,Printed Book,Mathematics,"Attested, not located",B,Norlind 1970,,,,
22,e-prandtlA-49,Apollonius Rhodius,"Argonautica (transl. Valentinus Rotmarus), 2 issues",Basel,1572,Printed Book,Letters/Philosophy,Located,A,Prandtl 1932,Sign. 5 J 103,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000002620&local_base=STT,
23,e-norlind-aratus-phaenomena,Aratus (ed. Morel),"Phaenomena et Prognostica (Cicero, Avienus, Germanicus) ... Hygini Astronomicon",Cologne,1569,Printed Book,Astronomical poetry,Attested; retired as unlocatable,C,Norlind 1970,,,,
24,e-prandtlA-05,Archimedes,"Archimedis Syracusani philosophi ac geometrae excellentissimi opera, quae quidem extant, omnia",Basel,1544,Printed Book,Astronomy/Astrology/Mathematics,Located,A,Prandtl 1932,Sign. 5 C 31,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000011736&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__5_C_000031__29S4MH3-cs
25,e-prandtlA-06,Archimedes,Archimedis Syracusani opera,Basel,1548,Printed Book,Astronomy/Astrology/Mathematics,Attested; retired as unlocatable,A,Prandtl 1932,,,,
26,e-prandtlA-07,Aristoteles (Lefèvre d'Étaples),"Meteorologia Aristotelis, Jacobi Fabri paraphrasi explanata",Nürnberg,1512,Printed Book,Astronomy/Astrology/Mathematics,Located,A,Prandtl 1932,Sign. 14 F 8,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000155813&local_base=STT,
27,e-kl-27d,Augustinus Valesius (Agostino Valese),De terrae motu liber,,1571,Printed Book,Natural philosophy (earthquakes),Located,B,Šolc 2002,Sign. 5 H 65,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000057198&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__5_H_000065__2VCWBT9-cs
28,e-kl-47,"Bayrus, Petrus",De medendis humani corporis malis Enchiridion,,,Printed Book,,Located,A,Kleinschnitzová 1933,Sign. 18 J 318,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000103679&local_base=STT,
29,e-kl-34,"Bellantius, Lucius",De astrologica veritate liber Quaestionum.,,,Printed Book,,Located,A,Kleinschnitzová 1933,Sign. 14 A 66,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000100032&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__14_A_000066_4F42JB7-cs
30,e-nkp102-bianchini-tepla,"Bianchini, Giovanni",Tabulae astronomicae (ed. Luca Gaurico),Venice,1526,Printed Book,Ephemerides/Tables,Located,B,NKP owner index,Teplá C 107,Teplá Monastery (Klášter Teplá),https://aleph.nkp.cz/F/?func=direct&doc_number=000005829&local_base=STT,
31,e-prandtlA-10,"Brucaeus, Henricus",Henrici Brucaei de motu primo libri tres,Rostock,1573,Printed Book,Astronomy/Astrology/Mathematics,Located,A,Prandtl 1932,Sign. 14 K 70,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000157951&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__14_K_000070_2RIHJWB-cs
32,e-prandtlA-11,"Cardanus, Hieronymus","Libelli duo: unus de supplemento almanach, alter de restitutione temporum et motuum coelestium",Nürnberg (Petreius),1543,Printed Book,Astronomy/Astrology/Mathematics,Located,A,Prandtl 1932,Sign. 14 F 16,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000155904&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__14_F_000016_38YQ7E9-cs
33,e-norlind-peucer-dimensione,Caspar Peucer,De dimensione terrae et geometrice numerandis locorum intervallis,Wittenberg,1550,Printed Book,Geodesy/Geometry,Attested; retired as unlocatable,C,Norlind 1970,,,,
34,e-prandtlA-12,"Christmann, Jacob",Observationum solarium libri tres,Basel,1601,Printed Book,Astronomy,Located,A,Prandtl 1932,Sign. 14 J 164/adl.1,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000162744&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__14_J_000164_1BQMXVA-cs
35,e-letter-clavius-sacrobosco,Christoph Clavius,In Sphaeram Ioannis de Sacro Bosco commentarius,,,Printed Book,Astronomy (Sphere),"Attested, not located",B,Correspondence and later literature,,,,
36,e-letter-clavius-gnomonice,Christoph Clavius,Gnomonice (Gnomonices libri octo),Vienna,1581,Printed Book,Gnomonics/Sundials,"Attested, not located",B,Correspondence and later literature,,,,
37,e-norlind-sturtz-oratiochytraei,Christoph Sturtz (Sturcius),Oratio memoria D. Chytraei,Rostock,1600,Printed Book,Oration/panegyric,"Attested, not located",B,Norlind 1970,,,,
38,e-norlind-sturtz-orationes,Christoph Sturtz (Sturcius),Orationes aliquot virtutis ac prudentiae civilis exempla proponentes,Rostock,1601,Printed Book,Oration/panegyric,"Attested, not located",B,Norlind 1970,,,,
39,e-letter-ptolemy-almagest-venice,Claudius Ptolemy,"Almagest (old Venetian edition, c. 1515)",,1515,Printed Book,Astronomy,"Attested, not located",B,Correspondence and later literature,,,,
